frame,timestamp
1,1531818379341
frame,timestamp
2,1531818383494
frame,timestamp
3,1531818387324
frame,timestamp
4,1531818391449
frame,timestamp
5,1531818395506
frame,timestamp
6,1531818399536
frame,timestamp
7,1531818403725
frame,timestamp
8,1531818407729
frame,timestamp
9,1531818411752
frame,timestamp
10,1531818415873
frame,timestamp
11,1531818419870
frame,timestamp
12,1531818424236
frame,timestamp
13,1531818428299
frame,timestamp
14,1531818432596
frame,timestamp
15,1531818436494
frame,timestamp
16,1531818440740
frame,timestamp
17,1531818444692
frame,timestamp
18,1531818448842
frame,timestamp
19,1531818453115
frame,timestamp
20,1531818457261
frame,timestamp
21,1531818461176
frame,timestamp
22,1531818465289
frame,timestamp
23,1531818469400
frame,timestamp
24,1531818473276
frame,timestamp
25,1531818477339
frame,timestamp
26,1531818481387
frame,timestamp
27,1531818485365
frame,timestamp
28,1531818489443
frame,timestamp
29,1531818493433
frame,timestamp
30,1531818497720
frame,timestamp
31,1531818501742
frame,timestamp
32,1531818505789
frame,timestamp
33,1531818509944
frame,timestamp
34,1531818514891
frame,timestamp
35,1531818521922
frame,timestamp
36,1531818522021
frame,timestamp
37,1531818525600
frame,timestamp
38,1531818529948
frame,timestamp
39,1531818534035
frame,timestamp
40,1531818538022
frame,timestamp
41,1531818542199
frame,timestamp
42,1531818546163
frame,timestamp
43,1531818550138
frame,timestamp
44,1531818554295
frame,timestamp
45,1531818558397
frame,timestamp
46,1531818562334
frame,timestamp
47,1531818566550
frame,timestamp
48,1531818570496
frame,timestamp
49,1531818574702
frame,timestamp
50,1531818578718
frame,timestamp
51,1531818583172
frame,timestamp
52,1531818586968
frame,timestamp
53,1531818590862
frame,timestamp
54,1531818594752
frame,timestamp
55,1531818598628
frame,timestamp
56,1531818602562
frame,timestamp
57,1531818606606
frame,timestamp
58,1531818610724
frame,timestamp
59,1531818614649
frame,timestamp
60,1531818618664
frame,timestamp
61,1531818622692
frame,timestamp
62,1531818626660
frame,timestamp
63,1531818630699
frame,timestamp
64,1531818634602
frame,timestamp
65,1531818640482
frame,timestamp
66,1531818642660
frame,timestamp
67,1531818646591
frame,timestamp
68,1531818650832
frame,timestamp
69,1531818654573
